exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial
F,3,random_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,0.0005330152982662151,-0.009043881069599219,0.004004959741999289,0.0
F,3,random_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,0.0014762232184061252,-0.009448343596195573,0.00522794039620631,0.0
F,3,random_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,0.0008243632743700768,-0.008806233811055974,0.004639495579094426,0.0
F,3,random_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,0.001091997244437204,-0.010010483857756314,0.00541411049837994,0.0
F,3,random_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,0.0005717037149657322,-0.00899602447382079,0.004077702536972954,0.0
F,3,videomae_b,base,11,mean,real,base,friction_slide,600,600,r2,0.3333626158970393,0.26921356171606403,0.3941754259095377,0.0
F,3,videomae_b,base,11,mean,real,base,log_mass,600,600,r2,0.0003472928756197424,-0.010177999250041203,0.006071421981583928,0.0
F,3,videomae_b,base,2,mean,real,base,friction_slide,600,600,r2,0.2072415802896065,0.13128271239529885,0.2724337579029086,0.0
F,3,videomae_b,base,2,mean,real,base,log_mass,600,600,r2,0.0008455098573598718,-0.009294789715029811,0.005880812765387671,0.0
F,3,videomae_b,base,5,mean,real,base,friction_slide,600,600,r2,0.3399683992042465,0.2739818746837463,0.4012481329336597,0.0
F,3,videomae_b,base,5,mean,real,base,log_mass,600,600,r2,0.00024409519784285294,-0.010011680585671595,0.005616581757686175,0.0
F,3,videomae_b,base,8,mean,real,base,friction_slide,600,600,r2,0.3791497360382319,0.32197004288400877,0.4320989490486623,0.0
F,3,videomae_b,base,8,mean,real,base,log_mass,600,600,r2,0.00015691316077937056,-0.010687643191088836,0.0061567561153696975,0.0
F,3,vjepa2,base,11,mean,real,base,friction_slide,600,600,r2,0.5114328308257854,0.454960389502082,0.5637589407166244,0.0
F,3,vjepa2,base,11,mean,real,base,log_mass,600,600,r2,0.0030711533311690298,-0.006896904759514788,0.007476531510438905,0.0
F,3,vjepa2,base,17,mean,real,base,friction_slide,600,600,r2,0.6071689905630251,0.5633238903581559,0.6476064560920802,0.0
F,3,vjepa2,base,17,mean,real,base,log_mass,600,600,r2,0.003033951512105282,-0.006539183358978079,0.005994798226564953,0.0
F,3,vjepa2,base,23,mean,real,base,friction_slide,600,600,r2,0.5705267837897361,0.5204412660530962,0.6154746978157846,0.0
F,3,vjepa2,base,23,mean,real,base,log_mass,600,600,r2,-0.0016504845193054951,-0.011327319781539568,0.002536546263640104,0.0
F,3,vjepa2,base,5,mean,real,base,friction_slide,600,600,r2,0.36859979553299493,0.30415512879164225,0.4238701028903924,0.0
F,3,vjepa2,base,5,mean,real,base,log_mass,600,600,r2,0.0003547395530414388,-0.009939506278352234,0.005036076407263229,0.0
F,4,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,-0.0007086780353602329,-0.03906136265744339,0.03371156545074958,0.0
F,4,dinov2_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.00179299127529986,-0.013886446768838384,0.0031517417197022136,0.0
F,4,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.004001868848067414,-0.0357817069274709,0.03816781476626225,0.0
